run,config,sample,image,time_s,gabarito_count,decoded_count,correct_count,missing_count,accuracy_pct
1,C1,config_1_sample_1,config_1_sample_1.png,131.41,93,93,93,0,100.00
1,C1,config_1_sample_2,config_1_sample_2.png,153.12,93,92,91,2,97.85
1,C1,config_1_sample_3,config_1_sample_3.png,132.53,93,93,93,0,100.00
1,C2,config_2_sample_1,config_2_sample_1.png,140.77,30,30,30,0,100.00
1,C2,config_2_sample_2,config_2_sample_2.png,140.79,30,30,30,0,100.00
1,C2,config_2_sample_3,config_2_sample_3.png,142.34,30,30,30,0,100.00
1,C3,config_3_sample_1,config_3_sample_1.png,138.51,93,93,93,0,100.00
1,C3,config_3_sample_2,config_3_sample_2.png,138.48,93,93,93,0,100.00
1,C3,config_3_sample_3,config_3_sample_3.png,119.60,93,93,93,0,100.00
1,C4,config_4_sample_1,config_4_sample_1.png,114.91,96,96,96,0,100.00
1,C4,config_4_sample_2,config_4_sample_2.png,132.71,96,96,96,0,100.00
1,C4,config_4_sample_3,config_4_sample_3.png,77.01,96,96,96,0,100.00
1,C5,config_5_sample_1,config_5_sample_1.png,139.57,96,96,96,0,100.00
1,C5,config_5_sample_2,config_5_sample_2.png,190.02,96,91,91,5,94.79
1,C5,config_5_sample_3,config_5_sample_3.png,158.67,96,73,73,23,76.04
1,C6,config_6_sample_1,config_6_sample_1.png,90.81,100,99,99,1,99.00
1,C6,config_6_sample_2,config_6_sample_2.png,101.22,100,89,89,11,89.00
1,C6,config_6_sample_3,config_6_sample_3.png,121.97,100,100,100,0,100.00
2,C1,config_1_sample_1,config_1_sample_1.png,131.45,93,93,93,0,100.00
2,C1,config_1_sample_2,config_1_sample_2.png,154.37,93,92,91,2,97.85
2,C1,config_1_sample_3,config_1_sample_3.png,133.40,93,93,93,0,100.00
2,C2,config_2_sample_1,config_2_sample_1.png,141.99,30,30,30,0,100.00
2,C2,config_2_sample_2,config_2_sample_2.png,142.77,30,30,30,0,100.00
2,C2,config_2_sample_3,config_2_sample_3.png,142.93,30,30,30,0,100.00
2,C3,config_3_sample_1,config_3_sample_1.png,139.34,93,93,93,0,100.00
2,C3,config_3_sample_2,config_3_sample_2.png,138.58,93,93,93,0,100.00
2,C3,config_3_sample_3,config_3_sample_3.png,120.14,93,93,93,0,100.00
2,C4,config_4_sample_1,config_4_sample_1.png,115.15,96,96,96,0,100.00
2,C4,config_4_sample_2,config_4_sample_2.png,131.44,96,96,96,0,100.00
2,C4,config_4_sample_3,config_4_sample_3.png,76.90,96,96,96,0,100.00
2,C5,config_5_sample_1,config_5_sample_1.png,136.60,96,96,96,0,100.00
2,C5,config_5_sample_2,config_5_sample_2.png,188.41,96,91,91,5,94.79
2,C5,config_5_sample_3,config_5_sample_3.png,157.90,96,73,73,23,76.04
2,C6,config_6_sample_1,config_6_sample_1.png,89.47,100,99,99,1,99.00
2,C6,config_6_sample_2,config_6_sample_2.png,100.90,100,89,89,11,89.00
2,C6,config_6_sample_3,config_6_sample_3.png,119.83,100,100,100,0,100.00
3,C1,config_1_sample_1,config_1_sample_1.png,130.80,93,93,93,0,100.00
3,C1,config_1_sample_2,config_1_sample_2.png,154.05,93,92,91,2,97.85
3,C1,config_1_sample_3,config_1_sample_3.png,132.82,93,93,93,0,100.00
3,C2,config_2_sample_1,config_2_sample_1.png,141.77,30,30,30,0,100.00
3,C2,config_2_sample_2,config_2_sample_2.png,141.68,30,30,30,0,100.00
3,C2,config_2_sample_3,config_2_sample_3.png,142.26,30,30,30,0,100.00
3,C3,config_3_sample_1,config_3_sample_1.png,138.15,93,93,93,0,100.00
3,C3,config_3_sample_2,config_3_sample_2.png,137.91,93,93,93,0,100.00
3,C3,config_3_sample_3,config_3_sample_3.png,119.20,93,93,93,0,100.00
3,C4,config_4_sample_1,config_4_sample_1.png,115.29,96,96,96,0,100.00
3,C4,config_4_sample_2,config_4_sample_2.png,130.31,96,96,96,0,100.00
3,C4,config_4_sample_3,config_4_sample_3.png,76.85,96,96,96,0,100.00
3,C5,config_5_sample_1,config_5_sample_1.png,137.11,96,96,96,0,100.00
3,C5,config_5_sample_2,config_5_sample_2.png,189.48,96,91,91,5,94.79
3,C5,config_5_sample_3,config_5_sample_3.png,157.80,96,73,73,23,76.04
3,C6,config_6_sample_1,config_6_sample_1.png,89.26,100,99,99,1,99.00
3,C6,config_6_sample_2,config_6_sample_2.png,101.63,100,89,89,11,89.00
3,C6,config_6_sample_3,config_6_sample_3.png,121.00,100,100,100,0,100.00
